book_id,title,author,publication_year,isbn,language,series_name,series_number,genres,categories,audience,avg_rating,ratings_count,reviews_count,shelves,summary_original,summary_enriched,reviews_selected,full_text_combined,themes,motifs,tone,writing_style,character_types,narrative_structure,embedding_summary,embedding_enriched,embedding_final
2907723,Myth and Reality,,1975,0060904666,eng,,,,,,4.06,14,1,,"An informative guide to the modern mythologies. This classic study, translated from the original French, deals primarily with societies around the world in which myth is--or was until very recently--""living,"" in the sense that it supplies models for human behavior &, by that very fact, gives meaning & value to life. The author believes that understanding the structure & function of myths in these traditional societies serves to clarify a stage in the history of human thought: ""myths reveal that the world, man & life have a supernatural origin & history, & that this history is significant, precious & exemplary.""",,,,,,,,,,,,
1662561,Tears of Rage: From Grieving Father to Crusader for Justce: The Untold Story of the Adam Walsh Case,,1997,0671006614,eng,,,,,,4.23,69,11,,"As the host of the immensely popular ""America's Most Wanted,"" John Walsh has been instrumental in the capture of nearly four hundred and fifty of this country's most dangerous fugitives. However, few know the full story of the personal tragedy behind his public crusade: the 1981 abduction and murder of his six-year-old son, Adam. Here, for the first time, Walsh, his wife Reve, and their closest friends tell the wrenching tale of Adam's death - and the infuriating conspiracy of events that have kept America's No. 1 crime fighter from obtaining justice and closure for himself and his family. At the time of Adam's disappearance from a Hollywood, Florida, mall, there was no system for tracking kidnapped children. The FBI was reluctant to get involved, and local police had more information on stolen cars than on missing kids. Two weeks later, when Adam's remains were found in a drainage canal more than one hundred miles from home, John Walsh had already begun his nightmare journey into a criminal justice system that would work against him in ways he never could have imagined. This is the powerful story of Walsh's transformation from grieving father to full-time activist, and how he enlarged the search for Adam's killer into an exhaustive, sixteen-year battle on behalf of thousands of missing and abused children.",,,,,,,,,,,,
22391139,Wrapped in Shadows,,2014,,eng,,,,,,4.02,79,17,,"One night of shadows. One night of bliss. One night it all fell apart.
Katherine Regina Vandercamp has everything. Wealth. Beauty. Social standing. She's the heiress to the Vandercamp fortune and engaged to the man of her dreams. One night it all shatters...
Finding her fiance with another woman, she is distraught and makes a reckless decision to go with a friend to a sex club. Needing total anonymity, she has sex with a stranger in a room of total darkness, a sensuous cocoon of silky shadows. She has no idea who this man is or what he looks like. But it is in the shadows she finds solace. In the shadows she finds bliss.
She can't forget this stranger's touch, his taste, his scent. He infiltrates her dreams and holds her thoughts and body captive. But has she made a false assumption about her fiance? Was he truly unfaithful? She regrets her hasty actions and is tormented by guilt. She is determined to marry the man she loves and forget her stranger.
Sinister events unfolded at the sex club. There was a gruesome murder and her stranger has been charged with the crime. Katie knows he's innocent because she was with him at the time of the murder. She is more shocked to find that he's not a stranger after all. What will she do? Will she reveal her horrible secret? Will she besmirch the Vandercamp name? Will she risk losing the man who has her heart to save the man who's touched her soul?
Her life is in turmoil. All because of that one night.
A night that was wrapped in shadows..",,,,,,,,,,,,
27775020,The Pilot's Baby,,,,eng,,,,,,3.80,41,7,,"An Amazon.com #1 Bestseller!
Buy today and also get a FREE copy of Tasha Blue's exclusive ""The Sheikh's Love Child"" (included in your download!)
Flight attendant Zoe Drake just could not resist. An overnight stay in Honolulu became even more interesting when she encountered the pilot in the hotel they were both staying in and sparks flew.
Being thousands of miles from home in an exotic destination was enough to bring out the naughty side in Zoe and when she lay her eyes on Captain Mason Kendrick's sexy body she found it hard to say no to anything.
Sooner or later, a night of pure red hot passion was on the cards. They were both going to enjoy every second of it and create a memory to last a lifetime.
However, it is now 6 weeks later and Zoe has discovered that this one night of passion has given her something else that will last a lifetime too....
And Now For a Limited Time Only:
Buy this book today and get the below book as a FREE BONUS! (Included inside) 
The Sheikh's Love Child - Tasha Blue 
A one night stand with a young, wealthy and exotic man seemed like a good bit of fun for Elizabeth but now she is pregnant and is on her way to tell the father too.
A flight to a far away destination gets very interesting when Elizabeth discovers that the father of her unborn child is Sheikh Basil Elsaeid.
How will the Sheikh feel when he a potential love child about to be brought into the world? Will he do the honorable thing and father the child also?
GET 2 BOOKS FOR 1! SCROLL UP AND CLICK BUY NOW!",,,,,,,,,,,,
15740566,Unbelievable,,2012,,eng,,,,,,3.48,18,11,,"As the miracle survivor of a devastating accident, Neona White starts to fear that she might not be entirely human. Sent to live with her grandmother, she meets Arun and Elyssa, who take her on a dangerous quest to unravel the mysteries of her unique identity.
As the world she thought she knew begins to disclose its unbelievable secrets, Neona is forced to face the eternal struggle between who people want her to be and what she really is.",,,,,,,,,,,,
31849494,"Crime Scene (Clay Edison, #1)",,2017,1472238478,eng,,,,,,3.75,881,143,,"Natural causes or foul play? That's the question Clay Edison must answer each time he examines a body. Figuring out motives and chasing down suspects aren't part of his beat--not until a seemingly open-and-shut case proves to be more than meets his highly trained eye.
Eccentric, reclusive Walter Rennert lies cold at the bottom of his stairs. At first glance the scene looks straightforward: a once-respected psychology professor, done in by booze and a bad heart. But his daughter Tatiana insists that her father has been murdered, and she persuades Clay to take a closer look at the grim facts of Rennert's life.
What emerges is a history of scandal and violence, and an experiment gone horribly wrong that ended in the brutal murder of a coed. Walter Rennert, it appears, was a broken man--and maybe a marked one. And when Clay learns that a colleague of Rennert's died in a nearly identical manner, he begins to question everything in the official record.
All the while, his relationship with Tatiana is evolving into something forbidden. The closer they grow, the more determined he becomes to catch her father's killer--even if he has to overstep his bounds to do it.
The twisting trail Clay follows will lead him into the darkest corners of the human soul. It's his job to listen to the tales the dead tell. But this time, he's part of a story that makes his blood run cold.",,,,,,,,,,,,
31849498,"Heartbreak Hotel (Alex Delaware, #32)",,2017,1472206517,eng,,,,,,3.86,6,4,,"At nearly one hundred years old, Thalia Mars is a far cry from the patients child psychologist Dr. Alex Delaware normally treats. But the charming, witty woman convinces Alex to meet with her in a suite at The Aventura - a luxury hotel with a checkered history.
What Thalia wants from Alex are answers to unsettling questions - about guilt, patterns of criminal behaviour, victim selection. When Alex asks the reason for her morbid fascination, Thalia promises to tell all during their next session. But when he returns the following morning, his question goes unanswered, and new ones arise...
In their most puzzling investigation to date, Alex and homicide detective Milo Sturgis must peel back the layers of a fascinating but elusive woman's life.
For Thalia Mars is a victim like no other, an enigma who harboured nearly a century of secrets and whose life and death draw those around her into a vortex of violence.",,,,,,,,,,,,
28410671,It All Started With A Tampon,,,,eng,,,,,,3.64,14,1,,"Gemma is a nobody. She knows it. Her parents know it. Everybody at school takes advantage of it. She accepts the fact that everybody is going to treat her badly. She can't do anything about it. She will forever be the doormat, somebody to shove homework at, someone to take anger out on. She goes about her business quietly, doesn't mess around.
But then Gemma makes a mistake. She goes out at night, again on a useless mission to keep the peace. She runs into one of the most dangerous gangs in America. And she makes an impression.
Liam Henderson is someone you don't mess around with, people cross the street to avoid crossing paths with him. So what will he do when a little school girl named Gemma gets under his skin?
And it all started with a Tampon.",,,,,,,,,,,,
17564279,Jimmy Goggles the God,,1894,,eng,,,,,,3.00,8,1,,"Jimmy Goggles the God is a short story by H. G. Wells. Herbert George ""H. G."" Wells (21 September 1866 - 13 August 1946) was an English writer, now best known for his work in the science fiction genre. He was also a prolific writer in many other genres, including contemporary novels, history, politics and social commentary, even writing textbooks and rules for war games. Wells is sometimes called ""The Father of Science Fiction,"" as are Jules Verne and Hugo Gernsback. His most notable science fiction works include The War of the Worlds, The Time Machine, The Invisible Man and The Island of Doctor Moreau. Wells's earliest specialised training was in biology, and his thinking on ethical matters took place in a specifically and fundamentally Darwinian context. He was also from an early date an outspoken socialist, often (but not always, as at the beginning of the First World War) sympathising with pacifist views. His later works became increasingly political and didactic, and he sometimes indicated on official documents that his profession was that of ""Journalist."" Most of his later novels were not science fiction. Some described lower-middle class life (Kipps; The History of Mr Polly), leading him to be touted as a worthy successor to Charles Dickens, but Wells described a range of social strata and even attempted, in Tono-Bungay (1909), a diagnosis of English society as a whole. Wells's first non-fiction bestseller was Anticipations of the Reaction of Mechanical and Scientific Progress Upon Human Life and Thought (1901). When originally serialised in a magazine it was subtitled, ""An Experiment in Prophecy,"" and is considered his most explicitly futuristic work. It offered the immediate political message of the privileged sections of society continuing to bar capable men from other classes from advancement until war would force a need to employ those most able, rather than the traditional upper classes, as leaders. Anticipating what the world would be like in the year 2000, the book is interesting both for its hits (trains and cars resulting in the dispersion of population from cities to suburbs; moral restrictions declining as men and women seek greater sexual freedom; the defeat of German militarism, and the existence of a European Union) and its misses (he did not expect successful aircraft before 1950, and averred that ""my imagination refuses to see any sort of submarine doing anything but suffocate its crew and founder at sea"").",,,,,,,,,,,,
9796580,"Will Gallows and the Snake-Bellied Troll (Will Gallows, #1)",,2011,1849392366,eng,,,,,,3.55,27,7,,"Will Gallows, a young elfling sky cowboy, rides out on a perilous quest to bring the evil snake-bellied troll bandit, Noose Wormworx, to justice. Noose is wanted for the murder of Will's pa -- the former deputy sheriff of Oretown.
Will's journey takes him deep into the heart of the Westrock, to the dark underground city of Deadrock, where he soon uncovers a deadly secret that could spell disaster not only for Oretown, but for the whole of the Westrock.",,,,,,,,,,,,
17564270,Sworn to Transfer (Courtlight #2),,2013,148417545X,eng,,,,,,3.70,1100,121,,"Eighteen-year-old companion trainee Ciardis Weathervane has won the friendship of the royal heir and saved his claim to the throne. Yet her interference in the inheritance rights leaves more harm done than good. The Ameles Forest lies unprotected and its inhabitants are dying.
As humans begin to die in gruesome deaths, the Emperor dispatches the royal heir to the forests with the solution to the kith concerns.
With enemies closing ranks in Sandrin, Ciardis can little afford to leave the city's nest of vipers to take on a new task. But she's given no choice when her loyalty to the crown and courts are called into question.
To keep the Companions' Guild happy and the favor of the Imperial Court, Ciardis will be tested in frightening new ways, especially when she's faced with an obstacle that could risk the lives of her friends and the family she never thought she had.
This second novel continues the story of Ciardis Weathervane from Sworn To Raise.",,,,,,,,,,,,
12379694,"Starting Over (1Night Stand, #28)",,2011,,eng,,,,,,3.36,63,13,,"A virgin gay man, Corbin is ready to ease into his new lifestyle, still, making the move scares him shitless. He's spent years fantasizing about embracing his true self, but what possessed him to agree to a 1 NightStand? As he nears the long, lean man with shaggy, graying hair, a hard on pushing at the front of his swim trunks, and a sexy-as-hell grin, the dreams pale in comparison, and easing in takes on a whole new meaning.
Though tired of being lonely, Matt considers changing his mind about the one-night arrangement until a tall, well-built man strolls across the pool area toward him, then all thoughts of leaving flee. Those broad shoulders, the amazing pecs, the spattering of dark hair on his chest...all of it calls to Matt. He wants to touch it, play with it. He forces himself to calm down. Matt will be his date's first male lover, and he intends to find the inner strength to take his time.
Intense physical attraction and Madame Eve's magic ignite a sexual fire, but will it be enough for two men starting over?",,,,,,,,,,,,
22688719,The Lion Kings: Part One,,2014,,eng,,,,,,3.80,107,21,,"(This is a serial -- see Author Note at bottom of blurb)
For six months, Madeline Granger has been overwhelmed by an almost magnetic pull that has kept her on the road, traveling all over the Midwest and erotically dreaming of two men... her lion kings. When she wakes up in Kansas, just outside the perimeter of a traveling carnival, it miraculously feels like coming home. But after she meets the two men who shouldn't exist outside her own mind, it's hard for her to reconcile that her dream lovers are two very real and sexy men, not imaginary. All she knows for certain is she wants them both.
Adam Michael's and his brother Cage, both lion-shifters, not only run Pantheros & Co Carnival, they are the stars. Making a home for his crew of misfits and outcasts was Adam's dream. Cage was his most desperate rescue, and after a profound loss, Adam worries that Cage's grief will drive him toward a brutality he can't come back from.
The last thing either lion-shifter expected was Madeline Granger. She might be the answer to Adam's prayers, in more ways than one, if he can get Cage to look past his pain. But, can Adam and Cage see Madeline as more than a substitute Clary? And can Madeline rescue two Kings drowning in their own sorrow?
Maddie might want The Lion Kings to rule her body, but is she strong enough to rule their hearts.
***Authors Note: Please be aware that The Lion Kings: Part One is the first episode in a hot new Alpha/Lion-Shifter Romance Menage serial set in Kansas in the early fall of 1966. This is part ONE of a FIVE part serialized story. In other words, it is episodic and not a stand-alone story. It is meant to be read in order of its parts. It does contain explicit M/F/M scenes and is meant for an adult audience.",,,,,,,,,,,,
15724270,West of Dead: A Nathaniel Caine Adventure,,2012,,eng,,,,,,3.73,39,13,,"Fans of Joe R. Lansdale, Robert Davis, and Adam Millard will love this fast paced tale of the Weird West.
What good is a six-shooter against a horde of the undead?
Nathaniel Caine wants to forget the War and see the frontier, and a trip by stagecoach seems like the perfect way. When the stage pulls into a deserted way station with obvious signs of violence, but a disturbing lack of bodies, he suspects things are going bad. Things go from bad to worse when the passengers fall under attack by people that should be dead, and Caine must call on old skills just to survive. He'll also need the help of a fellow passenger who knows more than he's telling if the restless dead are to be put back in the ground.",,,,,,,,,,,,
30332776,Digging Up the Past (Tales from Atlantis #1),,2016,1533133522,eng,,,,,,4.00,0,1,,"The Spade of Apocatequil can raise the dead and grant immortality--and it's been stolen!
When supernatural agents Riley Perez and Jason, her partner at the clandestine government agency DUE, are given the task of tracking down the magical artifact, they discover that the culprit may be one of the workers at an archaeological dig at Shady Shores. Is it John Braden, the head archaeologist on-site, who was involved in the original discovery of the spade? Or is it Danny Roget, the anthropologist, who claims that there have been strange sightings? Riley and Jason's hunt for the spade is endangered by a rash of sudden, unexplainable deaths of people involved in the dig. Together with Cameron Delaney, the intriguing alpha werewolf who runs Cerberus Security, the company in charge of protecting the archaeologists at the dig, Riley and Jason must find the spade before it can be used to destroy the world!",,,,,,,,,,,,
17164550,"Walking Shadows (Zoe Martinique, #5.1)",,2012,,eng,,,,,,4.04,22,2,,"A Revenant dies, its human soul ripped from its body. A missing human soul slowly becomes a Walking Shadow. A heart broken Wraith considers vengeance. And an Ethereal Dominion drinks blood.
Join Zoe Martinique as she investigates the next Ethereal threat and questions the purpose of her own existence when her Abysmal nature rises once again.",,,,,,,,,,,,
27862349,Too Close For Comfort (Samantha Jamison #9),,2015,,eng,,,,,,4.42,6,5,,"Why send me my own ransom note? I haven't been kidnapped yet! I partner with Tony, a connected guy from New Jersey. My past follows me to the present with unexpected surprises involving buried secrets, a journal, and possible lethal consequences.",,,,,,,,,,,,
32597622,Dare To Love,,2016,,eng,,,,,,4.35,29,17,,"Restoration architect Giada Manahan's heart has begun to resemble the adobe walls she loves. At least that's what her friends say. But Gia knows better---she's just being cautious. After all, as a single mom, her kids are her first priority.
But one drunken night, her friends push her into a trippy crystal healing ritual. Gia thinks it's a joke . . . until a few days later, she finds a half-naked stranger in her bed.
Hot, tatted anthropologist Alex Roces is exactly the kind of guy Gia should avoid. But when they end up sharing a house, Gia finds Alex's charms increasingly difficult to resist.
Will Gia continue to keep the walls around her heart? Or will she finally give in to its demands?",,,,,,,,,,,,
17927789,The Wife,,2013,,eng,,,,,,3.12,185,7,,"The Wife is a piece of flash fiction (500 words long) which has been awarded a 2nd Place in March of 2013 at the Darker Times Flash Fiction Competition. Author F. Poj takes us deep into the intimate world of an intense love relationship, and the dark places in which we could fall when we push the boundaries of time.
Mr. Poj proves us that a single page of writing can deeply stimulate our inner universe.",,,,,,,,,,,,
2480342,Son of Mad (Mad Reader 7),,,1596878487,eng,,,,,,3.62,22,3,,"Tired? Run-down? Logy? Take this simple test: Drop your present reading material into a glass of water--see how it dissolves into a soggy mess? Now make the same test with a MAD book. Notice how crisp and firm the cover stays--how those bright MAD pages begin to fizz. In just eight seconds, MAD's mind-rotting ingredients paralyze the cerebellum, bringing blessed relief. So remember: When brain-fog strikes, strike back...with MAD.",,,,,,,,,,,,
22843165,All It Takes,,2015,0993894216,eng,,,,,,3.75,224,54,,"Nineteen-year-old Star Collins never intended to return to her hometown, Avenue. That part of her life ended when she was nine years old, and child services took her away from her hoarder mother. Her mother chose her stuff over her daughter. That part of her life was supposed to be in the past.
But her mother has just passed away and Star finds herself giving up her summer to quietly clean out her old home. She just wants to sell it and move on with her life. However, things aren't going the way she planned. With her dyed-black hair and tattoos, she's attracting almost as much attention from the small town residents as Ash Winthrope, the guy who was just released from prison.
All Ash wants is a chance to start over. He screwed up and he knows it, he's going to have to live with the guilt for the rest of his life. But he's stuck in Avenue until his parole ends, and no one, not even his own parents, wants anything to do with him. Nearly out of money and completely out of options, Ash takes the only job he can, helping Star haul stuff out of her mother's house.
Neither of them expects anything to happen between them, or for their lives to change. But sometimes meeting the right person is all it takes.",,,,,,,,,,,,
13480266,How Your Words Can Change Your World,,,,eng,,,,,,4.40,113,5,,"HOW YOUR WORDS CAN CHANGE YOUR WORLD
Use Positive Faith to Create Your Desired Future
Also Includes:
31 Faith Declarations to Use Daily to Transform Your Life Forever",,,,,,,,,,,,
23621079,Junkyard Exotic,,2014,,eng,,,,,,4.14,7,3,,"From the BLACK DHARMA PRESS imprint.
Amazing and blazing poetry and rap from Grant Wamack.
Grant is the author of A Lightbulb's Lament and Notes from the Guts of a Hippo. Also, he is a weird fiction writer, Navy journalist, rapper extraordinaire, and an urban mystic. He's been published in such places as Everyday Weirdness, 365 Tomorrows, The New Flesh, and other fine publications.",,,,,,,,,,,,
13480263,'Salem's Lot,,2012,,eng,,,,,,3.99,2831,157,,"This is an alternate cover edition for .
Stephen King's second novel, the classic vampire bestseller 'SALEM'S LOT, tells the story of evil in small-town America. For the first time in a major trade edition, this terrifying novel is accompanied by previously unpublished material from King's archive, two short stories, and eerie photographs that bring King's fictional darkness and evil to vivid life.
When Stephen King's classic thriller'SALEM'S LOThit the stands in 1975, it thrilled and terrified millions of readers with tales of demonic evil in small-town America. Now, thirty years later and still scaring readers witless, 'SALEM'S LOTreemerges in a brilliant new edition, complete with photographs, fifty pages of deleted and alternate scenes, and two short stories related to the events of the novel.
While the original edition of 'SALEM'S LOT will forever be a premier horror classic, 'SALEM'S LOT: ILLUSTRATED EDITION, with the inclusion of material from King's archive, is destined to become a classic in its own right and a must-have for all Stephen King fans. In this edition, the hair-raising story of Jerusalem's Lot, a small town in Maine whose inhabitants succumb to the evil allure of a new resident, is told as the author envisioned it, complete with fifty pages of alternate and deleted scenes. With a new introduction by the author, two short stories related to the events and residents of Jerusalem's Lot, the lavishly creepy photographs of Jerry Uelsmann, and a stunning new page design, this edition brings the story to life in words and pictures as never before.
No library will be complete without this ideal collector's item for any King aficionado, the definitive illustrated edition of the great 'SALEM'S LOT.",,,,,,,,,,,,
9508900,"Chasing The Night (Eve Duncan, #11)",,2011,1429945354,eng,,,,,,4.12,54,6,,"A CIA agent's two-year-old child was stolen in the night as a brutal act of vengeance. Now, eight years later, this torment is something Catherine Ling awakens to every day. Her friends, family, and colleagues tell her to let go, move on, accept that her son is never coming back. But she can't. Catherine needs to find someone as driven and obsessed as she is to help her-- and that person is Eve Duncan. She knows that Eve shares her nightmare, since closure is also something that eludes Eve after the disappearance of her daughter Bonnie. Now, Eve must take her talents as a forensic sculptor to another level, using age progression as a way to unite Catherine with her child. As Eve gets drawn deeper into Catherine's horror, she must face looming demons of her own.
Bonnie's killer is still out there. And a new killer is taunting Eve and Catherine at every turn. Is Catherine's son alive, or not? These two women endure the worst fear any mother can imagine in Iris Johansen's latest thrill ride, a gut-wrenching journey into the darkest places of the soul.",,,,,,,,,,,,
673101,The Liberty Bell,,2007,1404831010,eng,,,,,,3.93,9,3,,"Why do Americans love a bell that no longer rings? It is the Liberty Bell, and it once rang to announce the birth of a new country, the United States. Find out why Americans still treasure the bell, along with its famous crack.",,,,,,,,,,,,
23006778,Summer Symphony,,2014,,eng,,,,,,3.98,50,24,,"Martin Zoric had vivid dreams of fatherhood, of a small hand pressed to his, of pink dresses and girlish laughter. Then his wife had a stillbirth and his world fell apart.
He listened to the unwanted apologies, stood by his wife as was expected of him, and kept his facade strong and firm for the entire world to see.
But does he have the strength to let go and really grieve?
When Ren Wakahisa landed in Croatia he was hoping to escape the cultural pressures put on him to conform. His family wanted him to forsake love for duty. They viewed his happiness as secondary to familial prosperity.
Does he have the courage to be who he wants to be? Or, will he yield to their wishes?
Summer Symphony is the story of how two men find their answers and what they learn about strength, and grace, and the endurance of love.",,,,,,,,,,,,
